Study,TrtEvent,TrtNonevent,CtrlEvent,CtrlNonevent
1,7,8,11,2
2,8,11,8,8
3,5,29,4,35
4,7,29,4,27
5,3,9,0,12
6,4,3,4,0
7,4,13,13,11
8,1,15,13,3
9,3,11,7,15
10,2,36,12,20
11,6,6,8,0
12,2,5,7,2
13,9,12,7,17
14,7,14,5,20
15,3,22,11,21
16,4,7,6,4
17,2,8,8,2
18,1,30,4,23
19,4,24,15,16
20,7,36,16,27
21,6,34,13,8
22,4,14,5,34
23,14,54,13,61
24,6,15,8,13
25,0,6,6,0
26,1,9,5,10
27,5,12,5,10
28,0,10,12,2
29,0,22,8,16
30,2,16,10,11
31,1,14,7,6
32,8,16,15,12
33,6,6,7,2
34,0,20,5,18
35,4,13,2,14
36,10,30,12,8
37,3,13,2,14
38,4,30,5,14
39,7,31,15,22
40,0,34,34,0
41,0,9,0,16
